LGA_NAME, STATE_NAME
Lower Eyre, South Australia
Loxton Waikerie, South Australia
Maralinga Tjarutja, South Australia
Marion, South Australia
Mid Murray, South Australia
Mitcham, South Australia
Mount Barker, South Australia
Mount Gambier, South Australia
Mount Remarkable, South Australia
Murray Bridge, South Australia
Naracoorte Lucindale, South Australia
Northern Areas, South Australia
Norwood Payneham and St Peters, South Australia
Onkaparinga, South Australia
Orroroo Carrieton, South Australia
Peterborough, South Australia
Playford, South Australia
Port Adelaide Enfield, South Australia
Port Augusta, South Australia
Port Lincoln, South Australia
Port Pirie, South Australia
Prospect, South Australia
Renmark Paringa, South Australia
Robe, South Australia
Roxby Downs, South Australia
Salisbury, South Australia
Southern Mallee, South Australia
Streaky Bay, South Australia
Tatiara, South Australia
Tea Tree Gully, South Australia
Tumby Bay, South Australia
Unley, South Australia
Victor Harbor, South Australia
Wakefield, South Australia
Walkerville, South Australia
Wattle Range, South Australia
West Torrens, South Australia
Whyalla, South Australia
Wudinna, South Australia
Yankalilla, South Australia
Yorke Peninsula, South Australia
Break O'Day, Tasmania
Brighton, Tasmania
Burnie, Tasmania
Central Coast, Tasmania
Central Highlands, Tasmania
Circular Head, Tasmania
Clarence, Tasmania
Derwent Valley, Tasmania
Devonport, Tasmania
Dorset, Tasmania
Flinders, Tasmania
George Town, Tasmania
Glamorgan-Spring Bay, Tasmania
Glenorchy, Tasmania
Hobart, Tasmania
Huon Valley, Tasmania
Kentish, Tasmania
King Island, Tasmania
Kingborough, Tasmania
Latrobe, Tasmania
Launceston, Tasmania
Meander Valley, Tasmania
Northern Midlands, Tasmania
Sorell, Tasmania
Southern Midlands, Tasmania
Tasman, Tasmania
Waratah-Wynyard, Tasmania
West Coast, Tasmania
West Tamar, Tasmania
Alpine, Victoria
Ararat, Victoria
Ballarat, Victoria
Banyule, Victoria
Bass Coast, Victoria
Baw Baw, Victoria
Bayside, Victoria
Benalla, Victoria
Boroondara, Victoria
Brimbank, Victoria
Buloke, Victoria
Campaspe, Victoria
Cardinia, Victoria
Casey, Victoria
Central Goldfields, Victoria
Colac Otway, Victoria
Corangamite, Victoria
Darebin, Victoria
East Gippsland, Victoria
Frankston, Victoria
Gannawarra, Victoria
Glen Eira, Victoria
Glenelg, Victoria
Golden Plains, Victoria
Greater Bendigo, Victoria
Greater Dandenong, Victoria
Greater Geelong, Victoria
Greater Shepparton, Victoria
Hepburn, Victoria
Hindmarsh, Victoria
Hobsons Bay, Victoria
Horsham, Victoria
Hume, Victoria
Indigo, Victoria
Kingston, Victoria
Knox, Victoria
Latrobe, Victoria
Loddon, Victoria
Macedon Ranges, Victoria
Manningham, Victoria
Mansfield, Victoria
Maribyrnong, Victoria
Maroondah, Victoria
Melbourne, Victoria
Melton, Victoria
Merri-bek, Victoria
Mildura, Victoria
Mitchell, Victoria
Moira, Victoria
Monash, Victoria
Moonee Valley, Victoria
Moorabool, Victoria
Mornington Peninsula, Victoria
Mount Alexander, Victoria
Moyne, Victoria
Murrindindi, Victoria
Nillumbik, Victoria
Northern Grampians, Victoria
Port Phillip, Victoria
Pyrenees, Victoria
Queenscliffe, Victoria
South Gippsland, Victoria
Southern Grampians, Victoria
Stonnington, Victoria
Strathbogie, Victoria
Surf Coast, Victoria
Swan Hill, Victoria
Towong, Victoria
Wangaratta, Victoria
Warrnambool, Victoria
Wellington, Victoria
West Wimmera, Victoria
Whitehorse, Victoria
Whittlesea, Victoria
Wodonga, Victoria
Wyndham, Victoria
Yarra, Victoria
Yarra Ranges, Victoria
Yarriambiack, Victoria
Albany, Western Australia
Armadale, Western Australia
Ashburton, Western Australia
Augusta Margaret River, Western Australia
Bassendean, Western Australia
Bayswater, Western Australia
Belmont, Western Australia
Beverley, Western Australia
Boddington, Western Australia
Boyup Brook, Western Australia
Bridgetown-Greenbushes, Western Australia
Brookton, Western Australia
Broome, Western Australia
Broomehill-Tambellup, Western Australia
Bruce Rock, Western Australia
Bunbury, Western Australia
Busselton, Western Australia
Cambridge, Western Australia
Canning, Western Australia
Capel, Western Australia
Carnamah, Western Australia
Carnarvon, Western Australia
Chapman Valley, Western Australia
Chittering, Western Australia
Claremont, Western Australia
Cockburn, Western Australia
Cocos (Keeling) Islands, Western Australia
Collie, Western Australia
Coolgardie, Western Australia
Coorow, Western Australia
Corrigin, Western Australia
Cottesloe, Western Australia
Cranbrook, Western Australia
Cuballing, Western Australia
Cue, Western Australia
Cunderdin, Western Australia
Dalwallinu, Western Australia
Dandaragan, Western Australia
Dardanup, Western Australia
Denmark, Western Australia
Derby-West Kimberley, Western Australia
Donnybrook-Balingup, Western Australia
Dowerin, Western Australia
Dumbleyung, Western Australia
Dundas, Western Australia
East Fremantle, Western Australia
East Pilbara, Western Australia
Esperance, Western Australia
Exmouth, Western Australia
Fremantle, Western Australia
Gingin, Western Australia
Gnowangerup, Western Australia
Goomalling, Western Australia
Gosnells, Western Australia
Greater Geraldton, Western Australia
Halls Creek, Western Australia
Harvey, Western Australia
Irwin, Western Australia
Jerramungup, Western Australia
Joondalup, Western Australia
Kalamunda, Western Australia
Kalgoorlie-Boulder, Western Australia
Karratha, Western Australia
Katanning, Western Australia
Kellerberrin, Western Australia
Kent, Western Australia
Kojonup, Western Australia
Kondinin, Western Australia
Koorda, Western Australia
Kulin, Western Australia
Kwinana, Western Australia
Lake Grace, Western Australia
Laverton, Western Australia
Leonora, Western Australia
Mandurah, Western Australia
Manjimup, Western Australia
Meekatharra, Western Australia
Melville, Western Australia
Menzies, Western Australia
Merredin, Western Australia
Mingenew, Western Australia
Moora, Western Australia
Morawa, Western Australia
Mosman Park, Western Australia
Mount Magnet, Western Australia
Mount Marshall, Western Australia
Mukinbudin, Western Australia
Mundaring, Western Australia
Murchison, Western Australia
Murray, Western Australia
Nannup, Western Australia
Narembeen, Western Australia
Narrogin, Western Australia
Nedlands, Western Australia
Ngaanyatjarraku, Western Australia
Northam, Western Australia
Northampton, Western Australia
Nungarin, Western Australia
Peppermint Grove, Western Australia
Perenjori, Western Australia
Perth, Western Australia
Pingelly, Western Australia
Plantagenet, Western Australia
Port Hedland, Western Australia
Quairading, Western Australia
Ravensthorpe, Western Australia
Rockingham, Western Australia
Sandstone, Western Australia
Serpentine-Jarrahdale, Western Australia
Shark Bay, Western Australia
South Perth, Western Australia
Stirling, Western Australia
Subiaco, Western Australia
Swan, Western Australia
Tammin, Western Australia
Three Springs, Western Australia
Toodyay, Western Australia
Trayning, Western Australia
Upper Gascoyne, Western Australia
Victoria Park, Western Australia
Victoria Plains, Western Australia
Vincent, Western Australia
Wagin, Western Australia
Wandering, Western Australia
Wanneroo, Western Australia
Waroona, Western Australia
West Arthur, Western Australia
Westonia, Western Australia
Wickepin, Western Australia
Williams, Western Australia
Wiluna, Western Australia
Wongan-Ballidu, Western Australia
Woodanilling, Western Australia
Wyalkatchem, Western Australia
Wyndham-East Kimberley, Western Australia
Yalgoo, Western Australia
Yilgarn, Western Australia
York, Western Australia
